Adam,SGD,RMSprop
0.4657,0.6817,2.0636
1.2534,0.7686,0.8722
0.3394,0.5589,1.8087
0.5973,1.1607,0.2344
0.3179,0.4625,1.0317
0.6713,0.4576,1.3713
0.3999,0.5460,1.6400
0.1885,0.8254,0.6158
0.0021,0.5101,0.5274
0.4335,0.3421,0.6599
1.5198,0.3471,1.1883
0.2512,0.3753,0.8510
0.5408,0.5701,1.3428
0.7270,0.9818,0.8949
1.1418,0.4276,1.6217
0.6638,0.3435,0.8584
1.7514,0.9247,1.3774
0.2493,1.2537,1.9774
0.5480,1.1592,1.1471
0.000126,0.6520,3.1192
