Adam,SGD,RMSprop
1.5183,0.8571,1.7074
0.3416,1.0067,0.8178
0.5828,1.7184,1.0417
1.5426,0.5865,1.7675
1.5611,0.7483,1.0338
0.3302,0.5282,1.2867
1.1296,0.3797,1.7808
0.8296,0.7165,0.8392
0.1331,0.7683,0.6102
0.2665,0.2752,0.9124
0.8614,0.2663,0.6319
0.0755,0.9873,2.6964
0.6094,0.3742,0.7740
0.6951,0.2060,1.0403
0.1445,1.3616,1.7766
0.8374,0.5047,2.1234
0.0203,1.0045,2.4734
0.3683,1.3045,2.0155
0.2579,0.8518,2.1073
0.7547,0.6976,1.0648
