Adam,SGD,RMSprop
0.7732,0.6075,0.3868
0.45,0.5601,1.0440
0.4534,0.5362,0.3219
0.6164,1.0418,0.8875
1.1351,0.6192,0.6918
0.8714,0.2741,1.3920
0.1510,0.4468,1.8250
0.3579,0.4680,0.8597
0.2154,1.0066,0.4233
0.9146,0.5785,0.2144
1.1362,1.4697,0.5937
0.9877,1.2627,1.2835
0.3976,0.8430,0.9468
0.5829,0.4971,1.3784
0.0993,0.6168,0.3727
0.0503,1.2613,2.2572
1.2094,0.5608,0.8327
0.0056,0.6675,0.7958
0.7011,0.7735,0.3435
0.7518,0.6259,0.2959
